,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
0,1,2015,Star Wars Ep. VII: The Force Awakens,"$936,662,225","$1,116,648,995","$2,053,311,220"
1,2,2009,Avatar,"$760,507,625","$2,015,837,654","$2,776,345,279"
2,3,2018,Black Panther,"$700,059,566","$648,198,658","$1,348,258,224"
3,4,2018,Avengers: Infinity War,"$678,815,482","$1,369,318,718","$2,048,134,200"
4,5,1997,Titanic,"$659,363,944","$1,548,844,451","$2,208,208,395"
5,6,2015,Jurassic World,"$652,270,625","$996,584,239","$1,648,854,864"
6,7,2012,The Avengers,"$623,279,547","$894,656,350","$1,517,935,897"
7,8,2017,Star Wars Ep. VIII: The Last Jedi,"$620,181,382","$696,540,365","$1,316,721,747"
8,9,2018,Incredibles 2,"$608,581,744","$633,950,692","$1,242,532,436"
9,10,2008,The Dark Knight,"$533,720,947","$468,275,260","$1,001,996,207"
10,11,2016,Rogue One: A Star Wars Story,"$532,177,324","$516,925,532","$1,049,102,856"
11,12,2017,Beauty and the Beast,"$504,014,165","$755,185,541","$1,259,199,706"
12,13,2016,Finding Dory,"$486,295,561","$534,919,632","$1,021,215,193"
13,14,1999,Star Wars Ep. I: The Phantom Menace,"$474,544,677","$552,500,000","$1,027,044,677"
14,15,1977,Star Wars Ep. IV: A New Hope,"$460,998,007","$325,600,000","$786,598,007"
15,16,2015,Avengers: Age of Ultron,"$459,005,868","$944,008,095","$1,403,013,963"
16,17,2012,The Dark Knight Rises,"$448,139,099","$636,300,000","$1,084,439,099"
17,18,2004,Shrek 2,"$441,226,247","$495,781,885","$937,008,132"
18,19,1982,ET: The Extra-Terrestrial,"$435,110,554","$357,854,772","$792,965,326"
19,20,2013,The Hunger Games: Catching Fire,"$424,668,047","$440,200,000","$864,868,047"
20,21,2006,Pirates of the Caribbean: Dead Manâs Chest,"$423,315,812","$642,900,000","$1,066,215,812"
21,22,1994,The Lion King,"$421,785,283","$564,429,585","$986,214,868"
22,23,2018,Jurassic World: Fallen Kingdom,"$417,719,760","$888,053,039","$1,305,772,799"
23,24,2010,Toy Story 3,"$415,004,880","$653,874,642","$1,068,879,522"
24,25,2019,Captain Marvel,"$414,538,774","$696,143,476","$1,110,682,250"
25,26,2017,Wonder Woman,"$412,563,408","$408,569,970","$821,133,378"
26,27,2013,Iron Man 3,"$408,992,272","$806,400,000","$1,215,392,272"
27,28,2016,Captain America: Civil War,"$408,084,349","$731,985,064","$1,140,069,413"
28,29,2012,The Hunger Games,"$408,010,692","$269,912,687","$677,923,379"
29,30,2017,Jumanji: Welcome to the Jungle,"$404,508,916","$559,987,277","$964,496,193"
30,31,2002,Spider-Man,"$403,706,375","$418,000,000","$821,706,375"
31,32,2009,Transformers: Revenge of the Fallen,"$402,111,870","$434,407,829","$836,519,699"
32,33,2013,Frozen,"$400,738,009","$871,731,901","$1,272,469,910"
33,34,1993,Jurassic Park,"$395,708,305","$643,104,279","$1,038,812,584"
34,35,2019,Avengers: Endgame,"$393,989,446","$948,700,000","$1,342,689,446"
35,36,2017,Guardians of the Galaxy Vol 2,"$389,813,101","$472,503,132","$862,316,233"
36,37,2011,Harry Potter and the Deathly Hallows: Part II,"$381,193,157","$960,500,000","$1,341,693,157"
37,38,2003,Finding Nemo,"$380,529,370","$555,900,000","$936,429,370"
38,39,2005,Star Wars Ep. III: Revenge of the Sith,"$380,270,577","$468,728,300","$848,998,877"
39,40,2003,The Lord of the Rings: The Return of the King,"$377,845,905","$763,557,436","$1,141,403,341"
40,41,1991,Beauty and the Beast,"$376,057,266","$232,373,866","$608,431,132"
41,42,2004,Spider-Man 2,"$373,524,485","$421,586,185","$795,110,670"
42,43,2004,The Passion of the Christ,"$370,782,930","$251,558,994","$622,341,924"
43,44,2016,The Secret Life of Pets,"$368,384,330","$518,383,092","$886,767,422"
44,45,2013,Despicable Me 2,"$368,065,385","$607,151,450","$975,216,835"
45,46,2016,The Jungle Book,"$364,001,123","$598,853,424","$962,854,547"
46,47,2016,Deadpool,"$363,070,709","$437,954,884","$801,025,593"
47,48,2015,Inside Out,"$356,461,711","$497,774,281","$854,235,992"
48,49,2015,Furious 7,"$353,007,020","$1,165,715,774","$1,518,722,794"
49,50,2011,Transformers: Dark of the Moon,"$352,390,543","$771,400,000","$1,123,790,543"
50,51,2014,American Sniper,"$350,126,372","$197,200,000","$547,326,372"
51,52,2002,The Lord of the Rings: The Two Towers,"$342,548,984","$592,150,661","$934,699,645"
52,53,2016,Zootopia,"$341,268,248","$678,436,100","$1,019,704,348"
53,54,2014,The Hunger Games: Mockingjay - Part 1,"$337,135,885","$429,439,246","$766,575,131"
54,55,2007,Spider-Man 3,"$336,530,303","$558,329,927","$894,860,230"
55,56,2015,Minions,"$336,045,770","$824,290,403","$1,160,336,173"
56,57,2018,Aquaman,"$335,061,807","$811,832,833","$1,146,894,640"
57,58,2017,Spider-Man: Homecoming,"$334,201,140","$545,965,210","$880,166,350"
58,59,2010,Alice in Wonderland,"$334,191,110","$691,300,000","$1,025,491,110"
59,60,2014,Guardians of the Galaxy,"$333,172,112","$437,695,404","$770,867,516"
60,61,2016,Batman v Superman: Dawn of Justice,"$330,360,194","$537,140,087","$867,500,281"
61,62,1994,Forrest Gump,"$330,151,138","$349,699,499","$679,850,637"
62,63,2017,It,"$327,481,748","$369,976,221","$697,457,969"
63,64,2016,Suicide Squad,"$325,100,054","$420,959,833","$746,059,887"
64,65,2018,Deadpool 2,"$324,591,735","$462,088,822","$786,680,557"
65,66,2007,Shrek the Third,"$322,719,944","$484,610,992","$807,330,936"
66,67,2007,Transformers,"$319,246,193","$389,026,399","$708,272,592"
67,68,2008,Iron Man,"$318,604,126","$266,567,421","$585,171,547"
68,69,2001,Harry Potter and the Sorcererâs Stone,"$317,871,467","$657,176,139","$975,047,606"
69,70,2008,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119","$469,534,294","$786,635,413"
70,71,2001,The Lord of the Rings: The Fellowship of the Ring,"$315,544,750","$571,666,235","$887,210,985"
71,72,2017,Thor: Ragnarok,"$315,058,289","$531,921,735","$846,980,024"
72,73,2010,Iron Man 2,"$312,433,331","$308,723,058","$621,156,389"
73,74,2002,Star Wars Ep. II: Attack of the Clones,"$310,676,740","$346,018,875","$656,695,615"
74,75,2007,Pirates of the Caribbean: At Worldâs End,"$309,420,425","$654,000,000","$963,420,425"
75,76,1983,Star Wars Ep. VI: Return of the Jedi,"$309,205,079","$263,500,000","$572,705,079"
76,77,1996,Independence Day,"$306,169,255","$511,231,623","$817,400,878"
77,78,2003,Pirates of the Caribbean: The Curse of the Blac…,"$305,411,224","$329,542,879","$634,954,103"
78,79,2012,Skyfall,"$304,360,277","$806,166,704","$1,110,526,981"
79,80,2012,The Hobbit: An Unexpected Journey,"$303,003,568","$714,000,000","$1,017,003,568"
80,81,2009,Harry Potter and the Half-Blood Prince,"$302,089,278","$633,124,489","$935,213,767"
81,82,2010,The Twilight Saga: Eclipse,"$300,531,751","$405,571,077","$706,102,828"
82,83,2009,The Twilight Saga: New Moon,"$296,623,634","$390,934,093","$687,557,727"
83,84,2010,Harry Potter and the Deathly Hallows: Part I,"$296,131,568","$664,300,000","$960,431,568"
84,85,1999,The Sixth Sense,"$293,506,292","$379,300,000","$672,806,292"
85,86,2009,Up,"$293,004,164","$438,459,213","$731,463,377"
86,87,2010,Inception,"$292,576,195","$539,825,887","$832,402,082"
87,88,2012,"The Twilight Saga: Breaking Dawn, Part 2","$292,324,737","$537,400,000","$829,724,737"
88,89,2007,Harry Potter and the Order of the Phoenix,"$292,137,260","$650,939,197","$943,076,457"
89,90,2005,"The Chronicles of Narnia: The Lion, the Witch a…","$291,710,957","$428,828,615","$720,539,572"
90,91,2013,Man of Steel,"$291,045,518","$376,954,000","$667,999,518"
91,92,1980,Star Wars Ep. V: The Empire Strikes Back,"$290,271,960","$243,889,374","$534,161,334"
92,93,2005,Harry Potter and the Goblet of Fire,"$290,201,752","$606,898,042","$897,099,794"
93,94,2001,"Monsters, Inc.","$289,423,425","$270,334,294","$559,757,719"
94,95,1990,Home Alone,"$285,761,243","$190,923,432","$476,684,675"
95,96,2015,The Hunger Games: Mockingjay - Part 2,"$281,723,902","$367,262,885","$648,986,787"
96,97,2003,The Matrix Reloaded,"$281,553,689","$457,023,240","$738,576,929"
97,98,2011,"The Twilight Saga: Breaking Dawn, Part 1","$281,287,133","$408,132,918","$689,420,051"
